"","X","Player","Mat","Inn","NO","Runs","HS","Ave","Balls","SR","X100","X50","X30","X0","X4s","X6s","BpB","Bp4","Bp6","PrB","Pr4","Pr6","BBP","RpB","RpNB","RpI","BpI","Basra","ABP","PRICE.PAID"
"196",196,"neil broom",157,150,14,3577,"117",26.3,2937,121.79,1,21,32,7,313,123,6.74,9.38,"23.88",55.63,35,20.63,14.85,4.56,0.63,23.85,19.58,148.09,2.61,37500
"197",197,"tim seifert",173,155,20,3555,"107",26.33,2761,128.76,2,18,28,11,319,149,5.9,8.66,"18.53",61.04,35.89,25.15,16.95,4.64,0.6,22.94,17.81,155.09,3.35,62500
"198",198,"tim david",165,155,43,3548,"92*",31.68,2190,162.01,0,14,31,3,250,213,4.73,8.76,"10.28",64.21,28.18,36.02,21.14,4.92,0.74,22.89,14.13,193.69,5.22,1031250
"199",199,"ben dunk",171,159,12,3536,"99",24.05,2720,130,0,18,25,10,302,125,6.37,9.01,"21.76",55.37,34.16,21.21,15.7,4.59,0.69,22.24,17.11,154.05,2.92,25000
"202",202,"chamari atapattu",183,178,13,3508,"113",21.26,3454,101.56,1,10,36,19,440,65,6.84,7.85,"53.14",61.29,50.17,11.12,14.62,4.26,0.46,19.71,19.4,122.82,2.14,125000
"203",203,"darren bravo",171,151,38,3484,"94",30.83,2983,116.8,0,19,24,7,214,187,7.44,13.94,"15.95",56.77,24.57,32.2,13.44,4.93,0.58,23.07,19.76,147.63,4.04,62500
"206",206,"upul tharanga",136,133,8,3469,"124",27.75,2754,125.96,2,19,28,9,386,112,5.53,7.13,"24.59",63.88,44.51,19.37,18.08,4.45,0.56,26.08,20.71,153.71,1.9,62500
"207",207,"jesse ryder",149,145,8,3460,"107",25.26,2384,145.13,1,25,20,16,378,150,4.52,6.31,"15.89",69.71,43.7,26.01,22.15,4.57,0.56,23.86,16.44,170.39,1.92,260000
"208",208,"chadwick walton",181,172,20,3456,"99",22.74,2781,124.27,0,14,26,16,292,167,6.06,9.52,"16.65",62.79,33.8,28.99,16.5,4.73,0.55,20.09,16.17,147.01,2.59,62500
"209",209,"sikandar raza",177,164,20,3425,"95",23.78,2598,131.83,0,21,20,12,274,141,6.26,9.48,"18.43",56.7,32,24.7,15.97,4.68,0.68,20.88,15.84,155.62,4.48,62500
"210",209,"sunil narine",446,279,55,3425,"79",15.29,2326,147.25,0,13,15,38,317,212,4.4,7.34,"10.97",74.16,37.02,37.14,22.74,4.8,0.49,12.28,8.34,162.54,4.96,8e+05
"211",211,"george worker",150,141,10,3423,"106",26.13,2762,123.93,1,18,25,9,332,113,6.21,8.32,"24.44",58.6,38.8,19.81,16.11,4.51,0.61,24.28,19.59,150.06,1.9,37500
"213",213,"soumya sarkar",197,194,15,3406,"88",19.03,2895,117.65,0,17,27,25,333,127,6.29,8.69,"22.8",61.48,39.11,22.37,15.89,4.55,0.54,17.56,14.92,136.68,2.68,37500
"214",214,"david willey",243,181,40,3392,"118*",24.06,2469,137.38,2,14,26,11,261,174,5.68,9.46,"14.19",61.56,30.78,30.78,17.62,4.8,0.64,18.74,13.64,161.44,4.75,250000
"216",216,"neil mckenzie",155,138,38,3357,"89*",33.57,2830,118.62,0,18,32,14,341,49,7.26,8.3,"57.76",49.39,40.63,8.76,13.78,4.25,0.7,24.33,20.51,152.19,3.81,62500
"217",217,"manoj tiwary",178,156,38,3349,"75",28.38,2879,116.33,0,15,34,10,269,87,8.09,10.7,"33.09",47.72,32.13,15.59,12.37,4.49,0.69,21.47,18.46,144.71,4.32,125000
"218",218,"anton devcich",159,145,10,3333,"102",24.69,2493,133.69,1,21,17,10,364,107,5.29,6.85,"23.3",62.95,43.68,19.26,18.89,4.45,0.61,22.99,17.19,158.38,2.7,62500
"219",219,"daryl mitchell",156,140,34,3332,"88",31.43,2501,133.23,0,15,34,4,211,136,7.21,11.85,"18.39",49.82,25.33,24.49,13.87,4.78,0.78,23.8,17.86,164.66,4.74,93750
"221",221,"ben mcdermott",134,128,17,3301,"127",29.74,2461,134.13,3,19,25,11,230,162,6.28,10.7,"15.19",57.32,27.87,29.45,15.93,4.83,0.68,25.79,19.23,163.87,3.04,62500
"224",224,"jimmy neesham",243,199,55,3278,"75*",22.76,2318,141.42,0,7,28,14,241,152,5.9,9.62,"15.25",57.23,29.41,27.82,16.95,4.77,0.73,16.47,11.65,164.18,5.49,250000
"225",225,"saurabh tiwary",171,146,36,3276,"69",29.78,2678,122.33,0,16,27,4,252,124,7.12,10.63,"21.6",53.48,30.77,22.71,14.04,4.66,0.66,22.44,18.34,152.11,4.22,62500
"230",230,"shimron hetmyer",162,150,31,3250,"100",27.31,2430,133.74,1,16,25,9,232,168,6.08,10.47,"14.46",59.57,28.55,31.02,16.46,4.84,0.65,21.67,16.2,161.06,4.27,1062500
"231",231,"usman khawaja",115,114,8,3227,"109",30.44,2480,130.12,3,16,23,6,394,50,5.59,6.29,"49.6",58.13,48.84,9.3,17.9,4.23,0.66,28.31,21.75,160.56,1.6,187500
"232",232,"kusal mendis",117,116,6,3219,"86",29.26,2353,136.8,0,27,19,6,276,140,5.66,8.53,"16.81",60.39,34.3,26.1,17.68,4.67,0.66,27.75,20.28,166.07,2.47,62500
"233",233,"callum ferguson",146,139,18,3217,"113",26.59,2577,124.84,2,15,29,11,278,67,7.47,9.27,"38.46",47.06,34.57,12.5,13.39,4.39,0.76,23.14,18.54,151.42,3.58,62500
"237",237,"ravindra jadeja",297,212,86,3208,"62",25.46,2497,128.47,0,2,25,11,234,115,7.15,10.67,"21.71",50.69,29.18,21.51,13.98,4.66,0.74,15.13,11.78,153.93,6.08,2e+06
"238",238,"rahmanullah gurbaz",129,128,3,3206,"121",25.65,2153,148.91,1,20,20,13,270,202,4.56,7.97,"10.66",71.49,33.69,37.8,21.92,4.86,0.54,25.05,16.82,174.56,1.58,62500
"244",244,"craig kieswetter",119,117,13,3119,"89",29.99,2561,121.79,0,26,19,7,291,110,6.39,8.8,"23.28",58.48,37.32,21.16,15.66,4.55,0.6,26.66,21.89,151.78,2.39,187500
"248",248,"ruturaj gaikwad",95,93,8,3068,"114",36.09,2276,134.8,3,22,18,4,285,115,5.69,7.99,"19.79",59.65,37.16,22.49,17.57,4.58,0.66,32.99,24.47,170.89,1.33,25000
"250",250,"rahul tripathi",135,131,18,3036,"93",26.87,2265,134.04,0,18,25,10,288,116,5.61,7.86,"19.53",60.87,37.94,22.92,17.84,4.57,0.64,23.18,17.29,160.91,3.39,1062500
"251",251,"ben stokes",158,145,23,3023,"107",24.78,2269,133.23,2,10,26,8,246,123,6.15,9.22,"18.45",56.96,32.55,24.41,16.26,4.67,0.68,20.85,15.65,158.01,4.14,2031250
"256",256,"shubman gill",106,103,16,3007,"126",34.56,2287,131.48,2,19,22,3,300,88,5.89,7.62,"25.99",57.47,39.91,17.56,16.97,4.45,0.67,29.19,22.2,166.05,2.3,225000
"258",257,"angelo mathews",183,158,39,3001,"81",25.22,2505,119.8,0,12,23,5,218,97,7.95,11.49,"25.82",48.45,29.06,19.39,12.57,4.62,0.71,18.99,15.85,145.02,5.08,250000
"261",261,"bhanuka rajapaksa",157,143,16,2990,"100",23.54,2218,134.81,1,12,26,7,249,140,5.7,8.91,"15.84",61.4,33.31,28.09,17.54,4.72,0.63,20.91,15.51,158.35,3.74,62500
"262",262,"aiden markram",116,105,19,2974,"100*",34.58,2219,134.02,1,22,21,2,258,105,6.11,8.6,"21.13",55.88,34.7,21.18,16.36,4.58,0.71,28.32,21.13,168.61,3.06,325000
"263",263,"naman ojha",182,162,20,2972,"94",20.93,2502,118.79,0,15,12,16,267,137,6.19,9.37,"18.26",63.59,35.94,27.66,16.15,4.68,0.52,18.35,15.44,139.71,3.35,175000
"264",264,"deepak hooda",180,149,30,2961,"108",24.88,2143,138.17,2,17,17,8,200,137,6.36,10.72,"15.64",54.78,27.02,27.76,15.73,4.81,0.74,19.87,14.38,163.05,4.7,718750
"265",265,"afif hossain",160,146,21,2959,"77",23.67,2375,124.59,0,12,24,10,261,103,6.52,9.1,"23.06",56.17,35.28,20.89,15.33,4.57,0.65,20.27,16.27,148.26,4.34,62500
"266",266,"denesh ramdin",227,175,47,2958,"84",23.11,2555,115.77,0,12,24,12,219,94,8.16,11.67,"27.18",48.68,29.61,19.07,12.25,4.6,0.68,16.9,14.6,138.88,5.33,62500
"267",267,"heinrich klaasen",149,134,36,2948,"104",30.08,2098,140.51,1,17,18,6,212,126,6.21,9.9,"16.65",54.41,28.77,25.64,16.11,4.75,0.76,22,15.66,170.6,4.55,656250
"268",268,"rovman powell",167,151,29,2946,"107",24.15,2164,136.14,1,12,28,10,165,203,5.88,13.12,"10.66",63.75,22.4,41.34,17.01,5.1,0.59,19.51,14.33,160.28,4.95,350000
"270",270,"manan vohra",113,108,9,2917,"106*",29.46,2283,127.77,1,18,20,6,283,107,5.85,8.07,"21.34",60.82,38.81,22.01,17.08,4.55,0.6,27.01,21.14,157.24,1.85,25000
"272",272,"vaughn van jaarsveld",134,121,20,2911,"112",28.82,2454,118.62,1,13,25,7,209,111,7.67,11.74,"22.11",51.6,28.72,22.88,13.04,4.69,0.66,24.06,20.28,147.44,3.77,62500
"274",274,"ben cutting",210,175,47,2883,"81*",22.52,1968,146.49,0,5,23,12,194,178,5.29,10.14,"11.06",63.96,26.92,37.04,18.9,4.96,0.65,16.47,11.25,169.02,6.24,93750
"277",277,"tom cooper",171,155,22,2851,"84",21.44,2225,128.13,0,12,20,9,251,96,6.41,8.86,"23.18",55.42,35.22,20.2,15.6,4.55,0.68,18.39,14.35,149.57,4.29,50000
"278",278,"karun nair",146,131,16,2846,"111",24.75,2197,129.54,1,16,16,4,281,89,5.94,7.82,"24.69",58.26,39.49,18.76,16.84,4.48,0.65,21.73,16.77,154.29,3.66,175000
"282",282,"sachin tendulkar",96,96,9,2797,"100",32.15,2310,121.08,1,16,26,5,359,38,5.82,6.43,"60.79",59.49,51.34,8.15,17.19,4.19,0.59,29.14,24.06,153.23,2.05,2e+06
"286",286,"dilshan munaweera",137,133,7,2781,"82",22.07,2233,124.54,0,11,22,10,339,97,5.12,6.59,"23.02",69.69,48.76,20.93,19.53,4.45,0.47,20.91,16.79,146.61,1.5,62500
"288",288,"corey anderson",150,131,23,2760,"95",25.56,1993,138.48,0,10,27,10,171,167,5.9,11.66,"11.93",61.09,24.78,36.3,16.96,4.99,0.65,21.07,15.21,164.04,4.96,125000
"291",291,"will jacks",108,101,7,2744,"108",29.19,1743,157.43,1,22,13,8,275,137,4.23,6.34,"12.72",70.04,40.09,29.96,23.64,4.67,0.62,27.17,17.26,186.62,2.08,4e+05
"294",294,"ian bell",103,99,11,2692,"131",30.59,2154,124.98,1,18,18,5,265,68,6.47,8.13,"31.68",54.53,39.38,15.16,15.46,4.41,0.67,27.19,21.76,155.57,2.56,125000
"297",297,"hazratullah zazai",99,99,4,2650,"162",27.89,1879,141.03,2,13,20,8,271,148,4.48,6.93,"12.7",74.42,40.91,33.51,22.3,4.71,0.46,26.77,18.98,168.93,1.3,62500
"300",300,"adam gilchrist",102,102,5,2622,"109",27.03,1869,140.29,3,13,17,8,296,120,4.49,6.31,"15.58",72.62,45.16,27.46,22.26,4.58,0.49,25.71,18.32,167.32,1.25,550000
"302",302,"harry brook",105,99,22,2588,"102",33.61,1753,147.63,2,9,25,4,218,105,5.43,8.04,"16.7",58.04,33.69,24.34,18.43,4.65,0.76,26.14,17.71,181.24,4.37,1656250
"311",311,"devdutt padikkal",81,81,7,2501,"124*",33.8,1875,133.39,3,14,18,5,268,89,5.25,7,"21.07",64.21,42.86,21.35,19.04,4.5,0.59,30.88,23.15,167.18,2.16,968750
"317",317,"kedar jadhav",156,135,33,2484,"84*",24.35,1935,128.37,0,14,13,8,222,82,6.37,8.72,"23.6",55.56,35.75,19.81,15.71,4.54,0.68,18.4,14.33,152.73,4.84,975000
"322",322,"paul collingwood",144,129,16,2459,"108",21.76,2026,121.37,1,9,20,9,165,85,8.1,12.28,"23.84",47.58,26.84,20.74,12.34,4.68,0.73,19.06,15.71,143.13,4.47,4e+05
"324",324,"simon katich",116,100,19,2452,"75",30.27,1933,126.85,0,10,26,7,249,49,6.49,7.76,"39.45",52.61,40.62,11.99,15.42,4.33,0.71,24.52,19.33,157.12,3.55,325000
"325",325,"nic maddinson",139,130,11,2450,"87",20.59,1971,124.3,0,12,14,11,225,101,6.05,8.76,"19.51",61.47,36.73,24.73,16.54,4.62,0.57,18.85,15.16,144.89,2.9,62500
"326",326,"prithvi shaw",98,98,1,2448,"134",25.24,1623,150.83,1,18,14,11,279,105,4.23,5.82,"15.46",71.32,45.59,25.74,23.66,4.55,0.57,24.98,16.56,176.07,1.05,150000
"327",327,"josh inglis",97,91,12,2436,"118",30.84,1650,147.64,2,16,8,4,252,78,5,6.55,"21.15",60.59,41.38,19.21,20,4.47,0.73,26.77,18.13,178.47,2.74,25000
"330",329,"benny howell",188,155,47,2431,"57*",22.51,1833,132.62,0,6,19,11,177,94,6.76,10.36,"19.5",52.32,29.12,23.2,14.78,4.69,0.74,15.68,11.83,155.13,5.62,50000
"332",331,"dwaine pretorius",198,153,34,2414,"77",20.29,1736,139.06,0,5,24,15,160,134,5.9,10.85,"12.96",59.82,26.51,33.31,16.94,4.91,0.67,15.78,11.35,159.34,5.59,62500
"333",333,"ashton turner",158,136,33,2396,"84",23.26,1714,139.79,0,12,15,13,159,100,6.62,10.78,"17.14",51.59,26.54,25.04,15.11,4.77,0.8,17.62,12.6,163.05,5.12,62500
"336",336,"graeme smith",86,86,6,2389,"105",29.86,1941,123.08,1,11,22,6,293,51,5.64,6.62,"38.06",61.87,49.06,12.81,17.72,4.3,0.57,27.78,22.57,152.94,1.37,625000
"337",337,"elton chigumbura",150,144,37,2381,"103",22.25,1789,133.09,1,7,19,13,136,130,6.73,13.15,"13.76",55.61,22.85,32.76,14.87,4.98,0.69,16.53,12.42,155.34,5.53,37500
"340",340,"tom bruce",105,101,15,2368,"93*",27.53,1631,145.19,0,16,14,5,208,101,5.28,7.84,"16.15",60.73,35.14,25.59,18.95,4.65,0.7,23.45,16.15,172.72,4.42,62500
"341",341,"brandon king",103,96,11,2363,"132",27.8,1806,130.84,2,14,15,7,235,112,5.2,7.69,"16.13",68.22,39.78,28.44,19.21,4.65,0.51,24.61,18.81,158.64,2,62500
"346",346,"christiaan jonker",126,114,26,2346,"66",26.66,1811,129.54,0,8,28,10,188,111,6.06,9.63,"16.32",60.44,32.05,28.39,16.51,4.74,0.61,20.58,15.89,156.2,4.3,62500
"347",347,"anaru kitchen",138,124,12,2344,"66",20.93,1852,126.57,0,7,24,7,205,97,6.13,9.03,"19.09",59.81,34.98,24.83,16.31,4.64,0.61,18.9,14.94,147.49,3.68,62500
"348",348,"alex carey",106,92,10,2330,"101*",28.41,1816,128.3,2,13,16,2,223,64,6.33,8.14,"28.38",54.76,38.28,16.48,15.8,4.45,0.69,25.33,19.74,156.72,3.27,3e+05
"349",348,"avishka fernando",96,93,8,2330,"100",27.41,1769,131.71,1,17,16,6,195,110,5.8,9.07,"16.08",61.8,33.48,28.33,17.24,4.72,0.61,25.05,19.02,159.12,2.01,62500
"351",351,"finn allen",85,85,3,2319,"101",28.28,1351,171.65,1,16,12,5,231,123,3.82,5.85,"10.98",71.67,39.84,31.82,26.2,4.69,0.66,27.28,15.89,199.93,1.36,1e+05
"352",352,"sanath jayasuriya",111,109,7,2317,"114",22.72,1654,140.08,1,12,16,11,252,114,4.52,6.56,"14.51",73.03,43.5,29.52,22.13,4.62,0.49,21.26,15.17,162.8,1.88,425000
"353",353,"theunis de bruyn",97,94,14,2311,"100*",28.89,1795,128.75,1,11,20,7,204,75,6.43,8.8,"23.93",54.78,35.31,19.47,15.54,4.54,0.69,24.59,19.1,157.63,2.83,37500
"354",354,"daryl mitchell",176,135,34,2310,"68",22.87,1943,118.89,0,7,24,5,218,17,8.27,8.91,"114.29",42.16,37.75,4.42,12.09,4.14,0.78,17.11,14.39,141.76,5.21,93750
"355",355,"rikki clarke",171,148,40,2305,"79*",21.34,1877,122.8,0,6,16,7,190,79,6.98,9.88,"23.76",53.54,32.97,20.56,14.33,4.59,0.67,15.57,12.68,144.14,5.1,187500
"357",357,"michael bracewell",119,101,26,2303,"141",30.71,1729,133.2,1,13,15,4,183,92,6.29,9.45,"18.79",55.75,31.78,23.97,15.91,4.67,0.7,22.8,17.12,163.91,4.39,125000
"358",358,"subramaniam badrinath",141,110,30,2300,"71*",28.75,2040,112.75,0,13,22,7,217,42,7.88,9.4,"48.57",48.7,37.74,10.96,12.7,4.32,0.66,20.91,18.55,141.5,4.61,37500
"359",359,"aditya tare",113,104,20,2297,"82",27.35,1761,130.44,0,10,20,9,258,59,5.56,6.83,"29.85",60.34,44.93,15.41,18,4.37,0.63,22.09,16.93,157.78,3.5,25000
"365",363,"shreevats goswami",106,96,10,2286,"86",26.58,2011,113.67,0,11,18,8,250,37,7.01,8.04,"54.35",53.46,43.74,9.71,14.27,4.26,0.62,23.81,20.95,140.26,1.93,125000
"366",363,"carlos brathwaite",248,191,45,2286,"64",15.66,1689,135.35,0,4,14,14,148,145,5.76,11.41,"11.65",63.95,25.9,38.06,17.35,4.99,0.59,11.97,8.84,151,6.62,625000
"367",367,"travis head",102,97,13,2285,"101",27.2,1739,131.4,1,9,20,2,162,96,6.74,10.73,"18.11",53.57,28.36,25.21,14.84,4.74,0.72,23.56,17.93,158.6,3.42,62500
"368",367,"akshar patel",211,154,53,2285,"70",22.62,1699,134.49,0,4,21,12,160,102,6.48,10.62,"16.66",54.79,28.01,26.78,15.42,4.78,0.72,14.84,11.03,157.11,6.46,1500000
"372",372,"liam dawson",220,165,40,2257,"82",18.06,1973,114.39,0,5,15,7,163,54,9.09,12.1,"36.54",43.24,28.89,14.36,11,4.5,0.73,13.68,11.96,132.45,5.87,187500
"373",373,"jeevan mendis",162,132,27,2250,"67*",21.43,1820,123.63,0,5,23,9,160,85,7.43,11.38,"21.41",51.11,28.44,22.67,13.46,4.69,0.7,17.05,13.79,145.05,5.39,50000
"374",374,"niall o'brien",142,123,18,2247,"84",21.4,2027,110.85,0,4,22,6,195,39,8.66,10.39,"51.97",45.13,34.71,10.41,11.54,4.33,0.69,18.27,16.48,132.25,3.75,37500
"376",376,"harpreet singh",80,74,12,2237,"92",36.08,1799,124.35,0,16,17,1,176,80,7.03,10.22,"22.49",52.93,31.47,21.46,14.23,4.63,0.68,30.23,24.31,160.43,3.86,25000
"379",379,"grant elliott",149,128,31,2212,"70*",22.8,1720,128.6,0,8,22,8,174,74,6.94,9.89,"23.24",51.54,31.46,20.07,14.42,4.6,0.73,17.28,13.44,151.41,5.33,125000
"385",384,"lewis gregory",184,147,38,2187,"76",20.06,1580,138.42,0,6,12,10,187,83,5.85,8.45,"19.04",56.97,34.2,22.77,17.09,4.61,0.72,14.88,10.75,158.48,5.8,187500
"388",388,"travis birt",107,103,9,2173,"94",23.12,1676,129.65,0,9,18,4,179,95,6.12,9.36,"17.64",59.18,32.95,26.23,16.35,4.69,0.63,21.1,16.27,152.77,3.76,62500
"392",392,"daniel hughes",98,92,13,2144,"96",27.14,1773,120.93,0,13,16,6,194,50,7.27,9.14,"35.46",50.19,36.19,13.99,13.76,4.41,0.7,23.3,19.27,148.06,2.85,37500
"396",396,"krunal pandya",161,131,38,2136,"86",22.97,1592,134.17,0,5,20,4,187,80,5.96,8.51,"19.9",57.49,35.02,22.47,16.77,4.6,0.69,16.31,12.15,157.14,5.61,1031250
"398",398,"janneman malan",79,77,5,2135,"128",29.65,1638,130.34,2,10,18,6,230,73,5.41,7.12,"22.44",63.61,43.09,20.52,18.5,4.48,0.58,27.73,21.27,159.99,1.45,62500
"399",399,"tom banton",97,96,3,2132,"107",22.92,1491,142.99,2,12,14,7,216,99,4.73,6.9,"15.06",68.39,40.53,27.86,21.13,4.63,0.57,22.21,15.53,165.92,1.63,125000
"405",405,"paras dogra",94,91,16,2095,"93",27.93,1809,115.81,0,11,21,3,141,86,7.97,12.83,"21.03",51.55,26.92,24.63,12.55,4.76,0.64,23.02,19.88,143.74,4.13,12500
"406",406,"seekkuge prasanna",197,156,31,2085,"76*",16.68,1344,155.13,0,6,17,12,125,159,4.73,10.75,"8.45",69.74,23.98,45.76,21.13,5.12,0.6,13.37,8.62,171.81,5.96,62500
"407",407,"joe root",88,80,16,2083,"92",32.55,1644,126.7,0,13,16,3,227,29,6.42,7.24,"56.69",51.94,43.59,8.35,15.57,4.23,0.72,26.04,20.55,159.25,3.71,125000
"408",408,"kedar devdhar",77,76,6,2079,"100",29.7,1730,120.17,1,11,14,3,225,50,6.29,7.69,"34.6",57.72,43.29,14.43,15.9,4.36,0.6,27.36,22.76,149.87,1.38,25000
"411",411,"kyle mayers",117,109,14,2072,"85",21.81,1634,126.81,0,11,16,8,170,121,5.62,9.61,"13.5",67.86,32.82,35.04,17.81,4.83,0.5,19.01,14.99,148.62,3.65,62500
"416",416,"cameron bancroft",90,83,19,2049,"95",32.02,1650,124.18,0,15,13,5,154,48,8.17,10.71,"34.38",44.12,30.06,14.06,12.24,4.48,0.79,24.69,19.88,156.2,3.41,12500
"418",418,"jake weatherald",86,85,5,2047,"115",25.59,1599,128.02,1,13,13,2,202,79,5.69,7.92,"20.24",62.63,39.47,23.16,17.57,4.56,0.58,24.08,18.81,153.61,2.07,25000
"419",419,"aiden blizzard",98,94,10,2043,"89",24.32,1541,132.58,0,10,14,4,226,64,5.31,6.82,"24.08",63.04,44.25,18.8,18.82,4.44,0.6,21.73,16.39,156.9,2.68,37500
"424",424,"tom latham",86,76,5,2030,"110",28.59,1551,130.88,1,12,12,5,165,70,6.6,9.4,"22.16",53.2,32.51,20.69,15.15,4.6,0.72,26.71,20.41,159.47,2.88,125000
"426",426,"dean elgar",82,77,17,2028,"88*",33.8,1826,111.06,0,11,17,2,145,53,9.22,12.59,"34.45",44.28,28.6,15.68,10.84,4.54,0.69,26.34,23.71,144.86,2.94,62500
"427",427,"chamara kapugedera",123,110,13,2022,"96",20.85,1561,129.53,0,7,17,6,149,87,6.61,10.48,"17.94",55.29,29.48,25.82,15.12,4.74,0.68,18.38,14.19,150.38,4.88,37500
"428",428,"irfan pathan",179,142,54,2020,"65*",22.95,1628,124.08,0,2,15,5,150,70,7.4,10.85,"23.26",50.5,29.7,20.79,13.51,4.64,0.71,14.23,11.46,147.03,5.89,125000
"430",430,"angelo perera",113,98,18,2009,"74",25.11,1689,118.95,0,8,18,5,143,60,8.32,11.81,"28.15",46.39,28.47,17.92,12.02,4.59,0.72,20.5,17.23,144.06,4.99,62500
"432",432,"johan botha",220,152,50,1988,"67*",19.49,1759,113.02,0,2,18,6,151,41,9.16,11.65,"42.9",42.76,30.38,12.37,10.92,4.43,0.73,13.08,11.57,132.51,6.33,450000
"433",433,"venkatesh iyer",84,76,20,1987,"104",35.48,1431,138.85,1,11,15,3,189,81,5.3,7.57,"17.67",62.51,38.05,24.46,18.87,4.6,0.64,26.14,18.83,174.34,3.89,25000
"434",434,"niroshan dickwella",107,104,9,1980,"79",20.84,1466,135.06,0,11,14,13,251,41,5.02,5.84,"35.76",63.13,50.71,12.42,19.92,4.28,0.62,19.04,14.1,155.9,1.85,62500
"440",440,"daniel harris",77,73,7,1965,"108",29.77,1542,127.43,1,9,17,2,198,62,5.93,7.79,"24.87",59.24,40.31,18.93,16.86,4.48,0.62,26.92,21.12,157.2,2.08,625
"442",442,"james faulkner",223,160,69,1953,"73",21.46,1562,125.03,0,1,18,5,97,75,9.08,16.1,"20.83",42.91,19.87,23.04,11.01,4.87,0.8,12.21,9.76,146.49,6.88,4e+05
"443",443,"rashid khan",396,228,75,1943,"56",12.7,1361,142.76,0,1,8,38,142,121,5.17,9.58,"11.25",66.6,29.23,37.36,19.32,4.92,0.59,8.52,5.97,155.46,7.44,1500000
"444",444,"gurkeerat singh",114,96,23,1937,"93",26.53,1567,123.61,0,7,13,10,181,68,6.29,8.66,"23.04",58.44,37.38,21.06,15.89,4.55,0.61,20.18,16.32,150.15,4.67,62500
"448",448,"sam curran",164,127,29,1914,"72",19.53,1456,131.46,0,9,12,8,143,92,6.2,10.18,"15.83",58.73,29.89,28.84,16.14,4.78,0.65,15.07,11.46,150.99,5.61,2312500
"452",451,"jitesh sharma",82,77,12,1907,"106",29.34,1298,146.92,1,9,14,3,194,80,4.74,6.69,"16.23",65.86,40.69,25.17,21.11,4.58,0.64,24.77,16.86,176.26,3.25,25000
"453",451,"hilton cartwright",97,89,22,1907,"79",28.46,1552,122.87,0,8,16,2,148,66,7.25,10.49,"23.52",51.81,31.04,20.77,13.79,4.62,0.69,21.43,17.44,151.34,4.73,62500
"454",454,"charith asalanka",91,89,11,1906,"80*",24.44,1517,125.64,0,9,17,4,153,78,6.57,9.92,"19.45",56.66,32.11,24.55,15.23,4.68,0.64,21.42,17.04,150.08,3.6,62500
"455",455,"gareth delany",102,92,11,1904,"89",23.51,1386,137.37,0,10,12,7,179,82,5.31,7.74,"16.9",63.45,37.61,25.84,18.83,4.63,0.62,20.7,15.07,160.88,3.47,62500
"457",457,"jehan mubarak",99,91,17,1893,"94",25.58,1660,114.04,0,7,18,8,175,52,7.31,9.49,"31.92",53.46,36.98,16.48,13.67,4.46,0.61,20.8,18.24,139.62,4.24,37500
"461",461,"sachin baby",97,79,12,1877,"79",28.01,1434,130.89,0,10,18,3,153,60,6.73,9.37,"23.9",51.78,32.61,19.18,14.85,4.56,0.74,23.76,18.15,158.91,4.76,25000
"463",463,"matt prior",81,76,5,1872,"117",26.37,1301,143.89,1,11,13,4,217,54,4.8,6,"24.09",63.68,46.37,17.31,20.83,4.4,0.66,24.63,17.12,170.26,2.55,2500
"472",472,"virat singh",69,67,14,1850,"103*",34.91,1501,123.25,1,11,13,1,184,50,6.41,8.16,"30.02",56,39.78,16.22,15.59,4.43,0.64,27.61,22.4,158.16,2.67,237500
"473",473,"wayne parnell",258,157,58,1848,"99",18.67,1514,122.06,0,5,7,11,153,63,7.01,9.9,"24.03",53.57,33.12,20.45,14.27,4.58,0.66,11.77,9.64,140.73,6.43,125000
"475",475,"jason holder",212,157,42,1840,"69",16,1461,125.94,0,2,14,15,119,106,6.49,12.28,"13.78",60.43,25.87,34.57,15.4,4.94,0.59,11.72,9.31,141.94,6.33,718750
"477",477,"pite van biljon",101,87,20,1826,"75",27.25,1428,127.87,0,7,16,5,125,80,6.97,11.42,"17.85",53.67,27.38,26.29,14.36,4.78,0.69,20.99,16.41,155.12,4.53,25000
"479",479,"alex ross",97,83,20,1802,"77",28.6,1400,128.71,0,9,18,5,129,64,7.25,10.85,"21.88",49.94,28.63,21.31,13.79,4.66,0.75,21.71,16.87,157.32,5.11,25000
"486",486,"vijay shankar",115,90,22,1762,"69",25.91,1379,127.77,0,6,14,4,120,67,7.37,11.49,"20.58",50.06,27.24,22.82,13.56,4.72,0.74,19.58,15.32,153.69,4.82,175000
"492",492,"ishank jaggi",68,66,15,1750,"108",34.31,1435,121.95,1,11,13,5,190,38,6.29,7.55,"37.76",56.46,43.43,13.03,15.89,4.33,0.63,26.52,21.74,156.26,3.23,25000
"493",493,"peter handscomb",114,101,23,1749,"103",22.42,1482,118.02,1,5,12,3,129,39,8.82,11.49,"38",42.88,29.5,13.38,11.34,4.46,0.76,17.32,14.67,140.44,4.39,37500
"497",496,"harry tector",100,92,18,1741,"91*",23.53,1374,126.71,0,6,14,3,136,53,7.27,10.1,"25.92",49.51,31.25,18.27,13.76,4.56,0.74,18.92,14.93,150.24,4.39,62500
"502",502,"shehan jayasuriya",88,79,5,1729,"107",23.36,1404,123.15,1,10,10,1,146,51,7.13,9.62,"27.53",51.47,33.78,17.7,14.03,4.52,0.7,21.89,17.77,146.51,3.48,37500
